slug,name,family,macroarea,glottocode,iso639_3,austlang,lat,lon,coord_provenance,coord_approximate,tier,endangerment,grammar_profiled,grammar_feature_count,lexicon_state,word_count,deep_time_divergence_bp,classification_chain
n216,Ngurruwula,unclassified,Australia,,,N216,,,none,,listed,unknown,false,,pointer_only,,,
n217,Buwarrpuwarr,unclassified,Australia,,,N217,,,none,,listed,unknown,false,,pointer_only,,,
n218,Mininggiri,unclassified,Australia,,,N218,,,none,,listed,unknown,false,,pointer_only,,,
n220,Giimbiyu,unclassified,Australia,,,N220,-12.480824015895,133.05641173628,austlang,true,listed,unknown,false,,pointer_only,,,
n222,Ngunbudj,unclassified,Australia,,,N222,,,none,,listed,unknown,false,,pointer_only,,,
n223,Wandangbag,unclassified,Australia,,,N223,-12.312678455805,132.9782491961,austlang,true,listed,unknown,false,,pointer_only,,,
n225,Meritjamui,unclassified,Australia,,,N225,,,none,,listed,unknown,false,,pointer_only,,,
n228,Bararrpararr,unclassified,Australia,,,N228,,,none,,listed,unknown,false,,pointer_only,,,
n229,Ngalarrunga,unclassified,Australia,,,N229,-15.900873682573,133.19732154296,austlang,true,listed,unknown,false,,pointer_only,,,
n24,Nangiblerbi,unclassified,Australia,,,N24,,,none,,listed,unknown,false,,pointer_only,,,
n52,Widjilg / Widyilg,unclassified,Australia,,,N52,,,none,,listed,unknown,false,,pointer_only,,,
n56,Gundudj,unclassified,Australia,,,N56,,,none,,listed,unknown,false,,pointer_only,,,
n84,Djarawala,unclassified,Australia,,,N84,,,none,,listed,unknown,false,,pointer_only,,,
n91,Galwa,unclassified,Australia,,,N91,,,none,,listed,unknown,false,,pointer_only,,,
n93, Wulkara,unclassified,Australia,,,N93,,,none,,listed,unknown,false,,pointer_only,,,
n98,Malarbardjuradj,unclassified,Australia,,,N98,,,none,,listed,unknown,false,,pointer_only,,,
naia1238,Manyallaluk Mayali,Gunwinyguan,Australia,naia1238,,,-12.3398,133.358,glottolog,false,classified,unknown,false,,none,,,Gunwinyguan > Bininj Kun-Wok
naja1241,Najanaja,Pama-Nyungan,Australia,naja1241,,A106,-18.6771,122.334,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > Desert Nyungic > Marrngu > Karadjeri
